trial_id,passenger_id,entry_time_min,seat,group,baggage,interarrival_time_min
20250506_211117,36,38.68,"(13, 6)",11,6.0,1.62
20250506_211117,37,35.82,"(12, 0)",10,5.0,-2.87
20250506_211117,38,35.90,"(12, 1)",10,10.0,0.08
20250506_211117,39,32.88,"(12, 2)",10,7.0,-3.02
20250506_211117,40,33.43,"(12, 4)",10,11.0,0.55
20250506_211117,41,34.93,"(12, 5)",10,6.0,1.50
20250506_211117,42,34.00,"(12, 6)",10,8.0,-0.93
20250506_211117,43,28.62,"(11, 0)",9,7.0,-5.38
20250506_211117,44,31.07,"(11, 1)",9,7.0,2.45
20250506_211117,45,31.15,"(11, 2)",9,7.0,0.08
20250506_211117,46,32.05,"(11, 4)",9,7.0,0.90
20250506_211117,47,30.08,"(11, 5)",9,3.0,-1.97
20250506_211117,48,29.25,"(11, 6)",9,5.0,-0.83
20250506_211117,49,26.42,"(10, 0)",8,5.0,-2.83
20250506_211117,50,25.67,"(10, 1)",8,8.0,-0.75
20250506_211117,51,27.07,"(10, 2)",8,10.0,1.40
20250506_211117,52,26.50,"(10, 4)",8,6.0,-0.57
20250506_211117,53,27.72,"(10, 5)",8,10.0,1.22
20250506_211117,54,24.72,"(10, 6)",8,10.0,-3.00
20250506_211117,55,22.97,"(9, 0)",7,8.0,-1.75
20250506_211117,56,21.30,"(9, 1)",7,7.0,-1.67
20250506_211117,57,22.23,"(9, 2)",7,6.0,0.93
20250506_211117,58,23.62,"(9, 4)",7,12.0,1.38
20250506_211117,59,21.38,"(9, 5)",7,10.0,-2.23
20250506_211117,60,20.63,"(9, 6)",7,6.0,-0.75
20250506_211117,61,17.30,"(8, 0)",6,9.0,-3.33
20250506_211117,62,17.38,"(8, 1)",6,8.0,0.08
20250506_211117,63,18.78,"(8, 2)",6,12.0,1.40
20250506_211117,64,17.90,"(8, 4)",6,7.0,-0.88
20250506_211117,65,19.37,"(8, 5)",6,9.0,1.47
20250506_211117,66,20.08,"(8, 6)",6,8.0,0.72
20250506_211117,67,14.93,"(7, 0)",5,7.0,-5.15
20250506_211117,68,14.17,"(7, 1)",5,5.0,-0.77
20250506_211117,69,15.85,"(7, 2)",5,5.0,1.68
20250506_211117,70,12.87,"(7, 4)",5,5.0,-2.98
20250506_211117,71,13.60,"(7, 5)",5,9.0,0.73
20250506_211117,72,16.80,"(7, 6)",5,7.0,3.20
20250506_211117,73,9.10,"(6, 0)",4,8.0,-7.70
20250506_211117,74,11.40,"(6, 1)",4,9.0,2.30
20250506_211117,75,10.70,"(6, 2)",4,8.0,-0.70
20250506_211117,76,9.98,"(6, 4)",4,6.0,-0.72
20250506_211117,77,11.90,"(6, 5)",4,9.0,1.92
20250506_211117,78,12.78,"(6, 6)",4,5.0,0.88
